ev_id,arrival_time,departure_time,stay_min,energy_required_kwh,battery_capacity_kwh,soc_arrival_pct,soc_target_pct,max_charging_power_kw,current_soc,remaining_energy_kwh,final_soc,energy_delivered_by_optimizer_kwh
EV-001,18:39,23:26,287,22.71,70.0,5.0,55.2,11.0,37.442857142857136,0.0,37.442857142857136,22.71
EV-002,19:30,06:07,637,21.69,60.0,48.6,80.4,11.0,80.0,2.4400000000000013,80.0,19.25
EV-003,14:27,19:13,286,5.46,40.0,50.5,78.2,11.0,64.15,0.0,64.15,5.46
EV-004,14:04,23:58,594,8.13,60.0,26.9,88.9,3.3,40.449999999999996,0.0,40.449999999999996,8.13
EV-005,13:44,22:40,536,8.27,40.0,23.9,64.2,7.2,44.574999999999996,0.0,44.574999999999996,8.27
EV-006,13:27,01:33,726,19.58,70.0,44.1,66.9,7.2,72.07142857142856,0.0,72.07142857142856,19.58
EV-007,14:48,01:14,626,13.26,70.0,46.7,80.4,11.0,65.64285714285715,0.0,65.64285714285715,13.26
EV-008,16:47,22:16,329,7.88,70.0,21.4,74.1,3.3,32.657142857142844,0.0,32.657142857142844,7.88
EV-009,16:06,22:33,387,12.67,70.0,44.9,92.2,3.3,63.000000000000036,0.0,63.000000000000036,12.67
EV-010,12:20,01:26,786,9.72,80.0,9.2,58.3,3.3,21.35,0.0,21.35,9.72
EV-011,14:55,21:17,382,8.14,60.0,36.7,90.7,7.2,50.26666666666667,0.0,50.26666666666667,8.14
EV-012,19:19,00:10,291,8.42,70.0,10.8,88.1,3.3,22.82857142857142,0.0,22.82857142857142,8.42
EV-013,15:56,21:09,313,18.47,70.0,31.8,71.4,7.2,58.18571428571426,0.0,58.18571428571426,18.47
EV-014,14:57,00:05,548,5.31,60.0,41.3,62.5,3.3,50.15,0.0,50.15,5.31
EV-015,23:15,06:44,449,5.5,50.0,27.2,94.6,11.0,38.2,0.0,38.2,5.5
EV-016,14:12,19:32,320,3.79,40.0,35.1,69.4,7.2,44.575,0.0,44.575,3.79
EV-017,15:25,19:05,220,5.21,70.0,37.1,83.2,3.3,44.54285714285716,0.0,44.54285714285716,5.21
EV-018,14:29,00:40,611,4.6,40.0,21.4,62.1,11.0,32.9,0.0,32.9,4.6
EV-019,14:34,19:17,283,3.72,40.0,14.2,84.9,3.3,23.5,0.0,23.5,3.72
EV-020,15:04,16:26,82,5.34,80.0,5.0,84.1,11.0,11.675,0.0,11.675,5.34
EV-021,15:19,04:17,778,24.95,40.0,36.7,76.2,3.3,80.0,7.275000000000012,80.0,17.674999999999986
EV-022,13:33,21:07,454,13.84,50.0,67.5,81.5,3.3,80.0,7.240000000000005,80.0,6.599999999999995
EV-023,22:06,01:14,188,6.51,40.0,74.4,79.4,7.2,80.0,2.91,80.0,3.5999999999999996
EV-024,14:48,23:38,530,9.97,50.0,32.9,67.1,3.3,52.83999999999998,0.0,52.83999999999998,9.97
EV-025,12:09,23:59,710,36.66,40.0,36.7,77.0,7.2,80.0,18.659999999999997,80.0,18.0
EV-026,14:01,21:46,465,25.71,50.0,41.9,100.0,3.3,80.0,5.910000000000015,80.0,19.799999999999986
EV-027,22:56,00:14,78,40.85,50.0,30.2,72.1,7.2,48.2,31.850000000000012,48.2,8.99999999999999
EV-028,21:02,01:11,249,18.17,60.0,26.1,79.0,3.3,48.1,4.9700000000000095,48.1,13.199999999999992
EV-029,12:10,00:13,723,18.18,80.0,5.0,78.2,11.0,27.725,0.0,27.725,18.18
EV-030,15:25,22:11,406,22.29,60.0,8.3,79.7,3.3,45.425,0.015000000000010116,45.425,22.274999999999988
EV-031,22:04,01:23,199,23.79,60.0,44.0,100.0,3.3,61.875,13.065000000000008,61.875,10.72499999999999
EV-032,22:29,00:06,97,13.31,40.0,81.9,100.0,11.0,81.9,13.31,81.9,0.0
EV-033,19:25,22:28,183,14.21,50.0,56.8,65.7,11.0,80.0,0.46000000000000085,80.0,13.75
EV-034,14:20,20:31,371,7.54,80.0,16.9,77.4,11.0,26.325,0.0,26.325,7.54
EV-035,14:31,01:14,643,4.93,80.0,68.8,100.0,3.3,74.96249999999999,0.0,74.96249999999999,4.93
EV-036,15:21,23:08,467,5.35,60.0,29.0,93.4,3.3,37.916666666666664,0.0,37.916666666666664,5.35
EV-037,14:34,00:09,575,9.38,80.0,28.6,83.4,3.3,40.325,0.0,40.325,9.38
EV-038,15:30,02:40,670,14.6,70.0,34.7,79.1,11.0,55.55714285714287,0.0,55.55714285714287,14.6
EV-039,12:29,01:10,761,53.9,50.0,63.8,86.2,3.3,80.0,45.64999999999997,80.0,8.250000000000028
EV-040,14:55,00:31,576,27.4,70.0,38.7,88.0,3.3,77.84285714285723,0.0,77.84285714285723,27.4
EV-041,20:48,23:54,186,7.87,70.0,38.7,80.1,11.0,49.94285714285715,0.0,49.94285714285715,7.87
EV-042,13:49,18:32,283,33.81,70.0,5.0,74.8,7.2,53.29999999999997,0.0,53.29999999999997,33.81
EV-043,14:03,15:08,65,14.34,60.0,66.7,71.7,7.2,78.7,7.139999999999998,78.7,7.200000000000002
EV-044,14:26,21:22,416,8.73,80.0,58.6,89.9,7.2,69.51249999999999,0.0,69.51249999999999,8.73
EV-045,14:27,23:32,545,15.59,70.0,49.5,73.7,7.2,71.77142857142856,0.0,71.77142857142856,15.59
EV-046,14:10,00:44,634,20.17,70.0,30.0,100.0,3.3,58.814285714285774,0.0,58.814285714285774,20.17
EV-047,17:34,23:05,331,10.67,60.0,11.2,69.6,7.2,28.98333333333333,0.0,28.98333333333333,10.67
EV-048,19:59,23:47,228,11.49,60.0,10.4,66.8,7.2,29.550000000000004,0.0,29.550000000000004,11.49
EV-049,13:07,19:33,386,3.0,80.0,39.5,80.5,11.0,43.25,0.0,43.25,3.0
EV-050,15:14,23:35,501,17.47,60.0,5.0,100.0,7.2,34.11666666666666,0.0,34.11666666666666,17.47
