ev_id,arrival_time,departure_time,stay_min,energy_required_kwh,battery_capacity_kwh,soc_arrival_pct,soc_target_pct,max_charging_power_kw
EV-001,18:39,23:26,287,22.71,70.0,5.0,55.2,11.0
EV-002,19:30,06:07,637,21.69,60.0,48.6,80.4,11.0
EV-003,14:27,19:13,286,5.46,40.0,50.5,78.2,11.0
EV-004,14:04,23:58,594,8.13,60.0,26.9,88.9,3.3
EV-005,13:44,22:40,536,8.27,40.0,23.9,64.2,7.2
EV-006,13:27,01:33,726,19.58,70.0,44.1,66.9,7.2
EV-007,14:48,01:14,626,13.26,70.0,46.7,80.4,11.0
EV-008,16:47,22:16,329,7.88,70.0,21.4,74.1,3.3
EV-009,16:06,22:33,387,12.67,70.0,44.9,92.2,3.3
EV-010,12:20,01:26,786,9.72,80.0,9.2,58.3,3.3
EV-011,14:55,21:17,382,8.14,60.0,36.7,90.7,7.2
EV-012,19:19,00:10,291,8.42,70.0,10.8,88.1,3.3
EV-013,15:56,21:09,313,18.47,70.0,31.8,71.4,7.2
EV-014,14:57,00:05,548,5.31,60.0,41.3,62.5,3.3
EV-015,23:15,06:44,449,5.5,50.0,27.2,94.6,11.0
EV-016,14:12,19:32,320,3.79,40.0,35.1,69.4,7.2
EV-017,15:25,19:05,220,5.21,70.0,37.1,83.2,3.3
EV-018,14:29,00:40,611,4.6,40.0,21.4,62.1,11.0
EV-019,14:34,19:17,283,3.72,40.0,14.2,84.9,3.3
EV-020,15:04,16:26,82,5.34,80.0,5.0,84.1,11.0
EV-021,15:19,04:17,778,24.95,40.0,36.7,76.2,3.3
EV-022,13:33,21:07,454,13.84,50.0,67.5,81.5,3.3
EV-023,22:06,01:14,188,6.51,40.0,74.4,79.4,7.2
EV-024,14:48,23:38,530,9.97,50.0,32.9,67.1,3.3
EV-025,12:09,23:59,710,36.66,40.0,36.7,77.0,7.2
EV-026,14:01,21:46,465,25.71,50.0,41.9,100.0,3.3
EV-027,22:56,00:14,78,40.85,50.0,30.2,72.1,7.2
EV-028,21:02,01:11,249,18.17,60.0,26.1,79.0,3.3
EV-029,12:10,00:13,723,18.18,80.0,5.0,78.2,11.0
EV-030,15:25,22:11,406,22.29,60.0,8.3,79.7,3.3
EV-031,22:04,01:23,199,23.79,60.0,44.0,100.0,3.3
EV-032,22:29,00:06,97,13.31,40.0,81.9,100.0,11.0
EV-033,19:25,22:28,183,14.21,50.0,56.8,65.7,11.0
EV-034,14:20,20:31,371,7.54,80.0,16.9,77.4,11.0
EV-035,14:31,01:14,643,4.93,80.0,68.8,100.0,3.3
EV-036,15:21,23:08,467,5.35,60.0,29.0,93.4,3.3
EV-037,14:34,00:09,575,9.38,80.0,28.6,83.4,3.3
EV-038,15:30,02:40,670,14.6,70.0,34.7,79.1,11.0
EV-039,12:29,01:10,761,53.9,50.0,63.8,86.2,3.3
EV-040,14:55,00:31,576,27.4,70.0,38.7,88.0,3.3
EV-041,20:48,23:54,186,7.87,70.0,38.7,80.1,11.0
EV-042,13:49,18:32,283,33.81,70.0,5.0,74.8,7.2
EV-043,14:03,15:08,65,14.34,60.0,66.7,71.7,7.2
EV-044,14:26,21:22,416,8.73,80.0,58.6,89.9,7.2
EV-045,14:27,23:32,545,15.59,70.0,49.5,73.7,7.2
EV-046,14:10,00:44,634,20.17,70.0,30.0,100.0,3.3
EV-047,17:34,23:05,331,10.67,60.0,11.2,69.6,7.2
EV-048,19:59,23:47,228,11.49,60.0,10.4,66.8,7.2
EV-049,13:07,19:33,386,3.0,80.0,39.5,80.5,11.0
EV-050,15:14,23:35,501,17.47,60.0,5.0,100.0,7.2
